location,sex,draw,exposure,value,outcome
ethiopia,Female,draw_278,60.15015,142.35970454082334,birth_weight
ethiopia,Female,draw_278,60.26026,142.35052737509258,birth_weight
ethiopia,Female,draw_278,60.37037,142.3413662508366,birth_weight
ethiopia,Female,draw_278,60.48048,142.33221083752522,birth_weight
ethiopia,Female,draw_278,60.59059,142.32306464813922,birth_weight
ethiopia,Female,draw_278,60.7007,142.31392624769134,birth_weight
ethiopia,Female,draw_278,60.81081,142.3047990087997,birth_weight
ethiopia,Female,draw_278,60.92092,142.29567032219086,birth_weight
ethiopia,Female,draw_278,61.03103,142.28657200969644,birth_weight
ethiopia,Female,draw_278,61.14114,142.27748619250852,birth_weight
ethiopia,Female,draw_278,61.25125,142.26840849206778,birth_weight
ethiopia,Female,draw_278,61.36136,142.25933532788181,birth_weight
ethiopia,Female,draw_278,61.47147,142.25027532940388,birth_weight
ethiopia,Female,draw_278,61.58158,142.24122268090275,birth_weight
ethiopia,Female,draw_278,61.69169,142.23217987947464,birth_weight
ethiopia,Female,draw_278,61.8018,142.22316696151174,birth_weight
ethiopia,Female,draw_278,61.91191,142.21416695940647,birth_weight
ethiopia,Female,draw_278,62.02202,142.20516029421623,birth_weight
ethiopia,Female,draw_278,62.13213,142.1961667811925,birth_weight
ethiopia,Female,draw_278,62.24224,142.1871906554615,birth_weight
ethiopia,Female,draw_278,62.35235,142.1782295393398,birth_weight
ethiopia,Female,draw_278,62.46246,142.16928454410836,birth_weight
ethiopia,Female,draw_278,62.57257,142.16035727867137,birth_weight
ethiopia,Female,draw_278,62.68268,142.15142801556703,birth_weight
ethiopia,Female,draw_278,62.79279,142.1425259450562,birth_weight
ethiopia,Female,draw_278,62.9029,142.13362353415863,birth_weight
ethiopia,Female,draw_278,63.01301,142.12474129986148,birth_weight
ethiopia,Female,draw_278,63.12312,142.11587455624775,birth_weight
ethiopia,Female,draw_278,63.23323,142.10702281096684,birth_weight
ethiopia,Female,draw_278,63.34334,142.09818895164875,birth_weight
ethiopia,Female,draw_278,63.45345,142.08936446575893,birth_weight
ethiopia,Female,draw_278,63.56356,142.080549672178,birth_weight
ethiopia,Female,draw_278,63.67367,142.07174578538596,birth_weight
ethiopia,Female,draw_278,63.78378,142.06297016091068,birth_weight
ethiopia,Female,draw_278,63.89389,142.0542039982368,birth_weight
ethiopia,Female,draw_278,64.004,142.0454563168214,birth_weight
ethiopia,Female,draw_278,64.11411,142.0367164946872,birth_weight
ethiopia,Female,draw_278,64.22422,142.02783376640468,birth_weight
