Unnamed: 0,anc1,parameter,exposure,draw,location,rr,location_id,ifa_coverage,bw_start,bw_end,ga_start,ga_end
933,True,cat50,0.0334365325077399,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3500,4000,37,38
934,True,cat43,0.0306501547987616,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,2500,3000,40,42
935,True,cat48,0.0814860681114551,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,3000,3500,37,38
936,True,cat123,0.0051393188854489,draw_94,pakistan,0.9032655819168875,165,0.655374045240851,1500,2000,40,42
937,True,cat24,0.0116973935155753,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,1500,2000,37,38
938,True,cat40,0.0167832167832167,draw_156,pakistan,0.9164980805611505,165,0.6631829147472476,2500,3000,36,37
939,True,cat39,0.009633312616532,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3000,3500,34,36
940,True,cat30,0.0088253573648228,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2000,2500,32,34
941,True,cat116,0.0066500932256059,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1000,1500,38,40
942,True,cat29,0.0066500932256059,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1500,2000,32,34
943,True,cat36,0.005469235550031,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2000,2500,36,37
944,True,cat124,0.0047855811062771,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1000,1500,37,38
945,True,cat31,0.0098819142324425,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2000,2500,40,42
946,True,cat28,0.0045991298943443,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1500,2000,34,36
947,True,cat27,0.0043505282784338,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1500,2000,30,32
948,True,cat95,0.0040397762585456,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3000,3500,32,34
949,True,cat23,0.003977625854568,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1000,1500,30,32
950,True,cat25,0.0034182722187694,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1500,2000,36,37
951,True,cat26,0.0034182722187694,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2000,2500,30,32
952,True,cat88,0.0033561218147917,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2500,3000,30,32
953,True,cat123,0.0044126786824114,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,1500,2000,40,42
954,True,cat47,0.0030453697949036,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3500,4000,36,37
955,True,cat49,0.0100062150403977,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,4000,9999,37,38
956,True,cat34,0.0108141702921068,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2000,2500,34,36
957,True,cat48,0.0822871348663766,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3000,3500,37,38
958,True,cat53,0.0435052827843381,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,4000,9999,38,40
959,True,cat51,0.0421379738968303,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3000,3500,40,42
960,True,cat55,0.0349906774394033,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3500,4000,40,42
961,True,cat50,0.0329397141081417,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3500,4000,37,38
962,True,cat43,0.0292728402734617,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,2500,3000,40,42
963,True,cat45,0.010627719080174,draw_28,pakistan,0.9027226328616246,165,0.6547112360263834,3000,3500,36,37
