location,draw,sex,age_start,age_end,parameter,value
ethiopia,draw_28,Female,0.0,0.01917808,42.42242,0.7400239734859244
ethiopia,draw_28,Male,0.0,0.01917808,42.42242,0.6632611349473035
nigeria,draw_28,Female,0.0,0.01917808,42.42242,0.6621337178061928
nigeria,draw_28,Male,0.0,0.01917808,42.42242,0.6441931628606071
pakistan,draw_28,Female,0.0,0.01917808,42.42242,0.3648135962648266
pakistan,draw_28,Male,0.0,0.01917808,42.42242,0.421369761365876
ethiopia,draw_28,Female,0.0,0.01917808,42.53253,0.7410695238641142
ethiopia,draw_28,Male,0.0,0.01917808,42.53253,0.6643046746338088
nigeria,draw_28,Female,0.0,0.01917808,42.53253,0.6632304613977906
nigeria,draw_28,Male,0.0,0.01917808,42.53253,0.6452720914043781
pakistan,draw_28,Female,0.0,0.01917808,42.53253,0.365857065006356
pakistan,draw_28,Male,0.0,0.01917808,42.53253,0.42241284823968406
ethiopia,draw_28,Female,0.0,0.01917808,42.64264,0.7421147399725404
ethiopia,draw_28,Male,0.0,0.01917808,42.64264,0.6653486063790928
nigeria,draw_28,Female,0.0,0.01917808,42.64264,0.6643274363508278
nigeria,draw_28,Male,0.0,0.01917808,42.64264,0.6463515197212176
pakistan,draw_28,Female,0.0,0.01917808,42.64264,0.3669033347078626
pakistan,draw_28,Male,0.0,0.01917808,42.64264,0.4234575941588019
ethiopia,draw_28,Female,0.0,0.01917808,42.75275,0.7431595877968413
ethiopia,draw_28,Male,0.0,0.01917808,42.75275,0.6663930302275234
nigeria,draw_28,Female,0.0,0.01917808,42.75275,0.6654250034460106
nigeria,draw_28,Male,0.0,0.01917808,42.75275,0.6474315995529476
pakistan,draw_28,Female,0.0,0.01917808,42.75275,0.3679526574475219
pakistan,draw_28,Male,0.0,0.01917808,42.75275,0.4245039890511758
ethiopia,draw_28,Female,0.0,0.01917808,42.86286,0.7442046916919736
ethiopia,draw_28,Male,0.0,0.01917808,42.86286,0.6674372693830187
nigeria,draw_28,Female,0.0,0.01917808,42.86286,0.6665226257177032
nigeria,draw_28,Male,0.0,0.01917808,42.86286,0.6485120015824389
pakistan,draw_28,Female,0.0,0.01917808,42.86286,0.36900490803354297
pakistan,draw_28,Male,0.0,0.01917808,42.86286,0.4255520733711912
ethiopia,draw_28,Female,0.0,0.01917808,42.97297,0.7452493625170353
ethiopia,draw_28,Male,0.0,0.01917808,42.97297,0.6684822103650454
nigeria,draw_28,Female,0.0,0.01917808,42.97297,0.667620744570853
nigeria,draw_28,Male,0.0,0.01917808,42.97297,0.6495929903326295
pakistan,draw_28,Female,0.0,0.01917808,42.97297,0.3700596736336829
pakistan,draw_28,Male,0.0,0.01917808,42.97297,0.4266019279398631
ethiopia,draw_28,Female,0.0,0.01917808,43.08308,0.746293771996709
ethiopia,draw_28,Male,0.0,0.01917808,43.08308,0.6695269485693128
nigeria,draw_28,Female,0.0,0.01917808,43.08308,0.6687192293765941
nigeria,draw_28,Male,0.0,0.01917808,43.08308,0.6506743345419368
pakistan,draw_28,Female,0.0,0.01917808,43.08308,0.37111707593643767
pakistan,draw_28,Male,0.0,0.01917808,43.08308,0.4276534216375129
ethiopia,draw_28,Female,0.0,0.01917808,43.19319,0.7473377733883186
ethiopia,draw_28,Male,0.0,0.01917808,43.19319,0.6705721451226356
nigeria,draw_28,Female,0.0,0.01917808,43.19319,0.6698178938497585
nigeria,draw_28,Male,0.0,0.01917808,43.19319,0.6517562046804793
pakistan,draw_28,Female,0.0,0.01917808,43.19319,0.37217727029748604
pakistan,draw_28,Male,0.0,0.01917808,43.19319,0.4287066017010357
ethiopia,draw_28,Female,0.0,0.01917808,43.3033,0.7483820852769582
ethiopia,draw_28,Male,0.0,0.01917808,43.3033,0.6716176098369627
nigeria,draw_28,Female,0.0,0.01917808,43.3033,0.6709167088852195
nigeria,draw_28,Male,0.0,0.01917808,43.3033,0.6528385542904757
pakistan,draw_28,Female,0.0,0.01917808,43.3033,0.3732402608163465
pakistan,draw_28,Male,0.0,0.01917808,43.3033,0.42976140813152913
ethiopia,draw_28,Female,0.0,0.01917808,43.41341,0.7494258804756208
ethiopia,draw_28,Male,0.0,0.01917808,43.41341,0.6726636535653786
nigeria,draw_28,Female,0.0,0.01917808,43.41341,0.672015966970654
nigeria,draw_28,Male,0.0,0.01917808,43.41341,0.653921432016287
pakistan,draw_28,Female,0.0,0.01917808,43.41341,0.374305948373027
pakistan,draw_28,Male,0.0,0.01917808,43.41341,0.4308178732404507
ethiopia,draw_28,Female,0.0,0.01917808,43.52352,0.750469179578888
ethiopia,draw_28,Male,0.0,0.01917808,43.52352,0.6737096744840695
nigeria,draw_28,Female,0.0,0.01917808,43.52352,0.6731152710237844
nigeria,draw_28,Male,0.0,0.01917808,43.52352,0.6550047010185218
pakistan,draw_28,Female,0.0,0.01917808,43.52352,0.37537449453015154
pakistan,draw_28,Male,0.0,0.01917808,43.52352,0.43187610229547424
ethiopia,draw_28,Female,0.0,0.01917808,43.63363,0.7515124700470761
ethiopia,draw_28,Male,0.0,0.01917808,43.63363,0.6747558626226556
nigeria,draw_28,Female,0.0,0.01917808,43.63363,0.6742150080275607
nigeria,draw_28,Male,0.0,0.01917808,43.63363,0.6560883130073148
pakistan,draw_28,Female,0.0,0.01917808,43.63363,0.3764460892288224
pakistan,draw_28,Male,0.0,0.01917808,43.63363,0.4329360246764449
ethiopia,draw_28,Female,0.0,0.01917808,43.74374,0.7525557214997336
ethiopia,draw_28,Male,0.0,0.01917808,43.74374,0.675802237766814
nigeria,draw_28,Female,0.0,0.01917808,43.74374,0.6753151132104012
nigeria,draw_28,Male,0.0,0.01917808,43.74374,0.6571723527301659
pakistan,draw_28,Female,0.0,0.01917808,43.74374,0.37752035734968337
pakistan,draw_28,Male,0.0,0.01917808,43.74374,0.4339975826376477
ethiopia,draw_28,Female,0.0,0.01917808,43.85385,0.7535988428402162
ethiopia,draw_28,Male,0.0,0.01917808,43.85385,0.6768490142539263
nigeria,draw_28,Female,0.0,0.01917808,43.85385,0.6764152474842555
nigeria,draw_28,Male,0.0,0.01917808,43.85385,0.6582570330814447
pakistan,draw_28,Female,0.0,0.01917808,43.85385,0.378597449621261
