outcome,draw,exposure,sex_of_child,age_group_id,location,value
neonatal_sepsis,draw_0,42.53253,Male,3,ethiopia,0.17327475662520322
neonatal_sepsis,draw_0,42.64264,Female,2,ethiopia,0.17097079249375785
neonatal_sepsis,draw_0,42.64264,Male,2,ethiopia,0.1604720956434948
neonatal_sepsis,draw_0,42.64264,Female,3,ethiopia,0.1781043971515499
neonatal_sepsis,draw_0,42.64264,Male,3,ethiopia,0.17351904377294172
neonatal_sepsis,draw_0,42.75275,Female,2,ethiopia,0.1712409830816992
neonatal_sepsis,draw_0,42.75275,Male,2,ethiopia,0.16073479583164005
neonatal_sepsis,draw_0,42.75275,Female,3,ethiopia,0.1783465784865824
neonatal_sepsis,draw_0,42.75275,Male,3,ethiopia,0.1737641281553686
neonatal_sepsis,draw_0,42.86286,Female,2,ethiopia,0.17151200108092932
neonatal_sepsis,draw_0,42.86286,Male,2,ethiopia,0.1609982971304993
neonatal_sepsis,draw_0,42.86286,Female,3,ethiopia,0.17858955306527072
neonatal_sepsis,draw_0,42.86286,Male,3,ethiopia,0.17400997094751047
neonatal_sepsis,draw_0,42.97297,Female,2,ethiopia,0.17178370730830358
neonatal_sepsis,draw_0,42.97297,Male,2,ethiopia,0.1612624860507618
neonatal_sepsis,draw_0,42.97297,Female,3,ethiopia,0.17883321750098444
neonatal_sepsis,draw_0,42.97297,Male,3,ethiopia,0.1742565070981406
neonatal_sepsis,draw_0,43.08308,Female,2,ethiopia,0.17205615457077128
neonatal_sepsis,draw_0,43.08308,Male,2,ethiopia,0.16152746805940543
neonatal_sepsis,draw_0,43.08308,Female,3,ethiopia,0.17907762328873497
neonatal_sepsis,draw_0,43.08308,Male,3,ethiopia,0.17450382815635584
neonatal_sepsis,draw_0,43.19319,Female,2,ethiopia,0.17232929543534684
neonatal_sepsis,draw_0,43.19319,Male,2,ethiopia,0.16179318562553952
neonatal_sepsis,draw_0,43.19319,Female,3,ethiopia,0.17932276277524523
neonatal_sepsis,draw_0,43.19319,Male,3,ethiopia,0.17475189849268558
neonatal_sepsis,draw_0,43.3033,Female,2,ethiopia,0.1726031106790477
neonatal_sepsis,draw_0,43.3033,Male,2,ethiopia,0.1620597275492759
neonatal_sepsis,draw_0,43.3033,Female,3,ethiopia,0.17956863035984966
neonatal_sepsis,draw_0,43.3033,Male,3,ethiopia,0.1750007989127149
neonatal_sepsis,draw_0,43.41341,Female,2,ethiopia,0.17287764407852774
neonatal_sepsis,draw_0,43.41341,Male,2,ethiopia,0.16232701384866122
neonatal_sepsis,draw_0,43.41341,Female,3,ethiopia,0.17981524607465757
neonatal_sepsis,draw_0,43.41341,Male,3,ethiopia,0.175250453303384
neonatal_sepsis,draw_0,43.52352,Female,2,ethiopia,0.17315291910969632
neonatal_sepsis,draw_0,43.52352,Male,2,ethiopia,0.162595032007154
neonatal_sepsis,draw_0,43.52352,Female,3,ethiopia,0.18006264415159765
neonatal_sepsis,draw_0,43.52352,Male,3,ethiopia,0.17550082767337968
neonatal_sepsis,draw_0,43.63363,Female,2,ethiopia,0.17342899746441184
neonatal_sepsis,draw_0,43.63363,Male,2,ethiopia,0.1628637061516273
neonatal_sepsis,draw_0,43.63363,Female,3,ethiopia,0.18031083039083168
neonatal_sepsis,draw_0,43.63363,Male,3,ethiopia,0.1757519181278024
neonatal_sepsis,draw_0,43.74374,Female,2,ethiopia,0.1737059099376419
neonatal_sepsis,draw_0,43.74374,Male,2,ethiopia,0.16313323721724474
neonatal_sepsis,draw_0,43.74374,Female,3,ethiopia,0.1805597977138921
neonatal_sepsis,draw_0,43.74374,Male,3,ethiopia,0.17600387324508202
neonatal_sepsis,draw_0,43.85385,Female,2,ethiopia,0.17398363756192495
neonatal_sepsis,draw_0,43.85385,Male,2,ethiopia,0.1634036817505752
neonatal_sepsis,draw_0,43.85385,Female,3,ethiopia,0.18080956922461344
neonatal_sepsis,draw_0,43.85385,Male,3,ethiopia,0.1762567500163887
neonatal_sepsis,draw_0,43.96396,Female,2,ethiopia,0.1742621906450345
neonatal_sepsis,draw_0,43.96396,Male,2,ethiopia,0.1636749830126815
neonatal_sepsis,draw_0,43.96396,Female,3,ethiopia,0.18106014676976534
neonatal_sepsis,draw_0,43.96396,Male,3,ethiopia,0.17651045823836403
neonatal_sepsis,draw_0,44.07407,Female,2,ethiopia,0.17454143014578394
neonatal_sepsis,draw_0,44.07407,Male,2,ethiopia,0.1639471872473809
neonatal_sepsis,draw_0,44.07407,Female,3,ethiopia,0.18131153501231226
neonatal_sepsis,draw_0,44.07407,Male,3,ethiopia,0.17676501238941114
neonatal_sepsis,draw_0,44.18418,Female,2,ethiopia,0.174821302012684
neonatal_sepsis,draw_0,44.18418,Male,2,ethiopia,0.1642202466034906
neonatal_sepsis,draw_0,44.18418,Female,3,ethiopia,0.18156363655283406
neonatal_sepsis,draw_0,44.18418,Male,3,ethiopia,0.17702041471369243
neonatal_sepsis,draw_0,44.29429,Female,2,ethiopia,0.17510204149653702
neonatal_sepsis,draw_0,44.29429,Male,2,ethiopia,0.16449411281152043
neonatal_sepsis,draw_0,44.29429,Female,3,ethiopia,0.18181659125079527
neonatal_sepsis,draw_0,44.29429,Male,3,ethiopia,0.17727657976130318
neonatal_sepsis,draw_0,44.4044,Female,2,ethiopia,0.1753835228117428
neonatal_sepsis,draw_0,44.4044,Male,2,ethiopia,0.1647687318413837
neonatal_sepsis,draw_0,44.4044,Female,3,ethiopia,0.18207030979142036
neonatal_sepsis,draw_0,44.4044,Male,3,ethiopia,0.177533556329619
neonatal_sepsis,draw_0,44.51451,Female,2,ethiopia,0.17566581203519735
neonatal_sepsis,draw_0,44.51451,Male,2,ethiopia,0.16504417947111538
neonatal_sepsis,draw_0,44.51451,Female,3,ethiopia,0.1823248491662839
neonatal_sepsis,draw_0,44.51451,Male,3,ethiopia,0.17779136576579743
neonatal_sepsis,draw_0,44.62462,Female,2,ethiopia,0.1759489644901755
neonatal_sepsis,draw_0,44.62462,Male,2,ethiopia,0.16532041092112731
neonatal_sepsis,draw_0,44.62462,Female,3,ethiopia,0.18258015100952987
neonatal_sepsis,draw_0,44.62462,Male,3,ethiopia,0.17804999855969578
neonatal_sepsis,draw_0,44.73473,Female,2,ethiopia,0.17623300945542741
neonatal_sepsis,draw_0,44.73473,Male,2,ethiopia,0.1655974166403415
neonatal_sepsis,draw_0,44.73473,Female,3,ethiopia,0.1828362914322093
neonatal_sepsis,draw_0,44.73473,Male,3,ethiopia,0.1783094763747641
neonatal_sepsis,draw_0,44.84484,Female,2,ethiopia,0.17651795958301453
neonatal_sepsis,draw_0,44.84484,Male,2,ethiopia,0.1658752983741079
neonatal_sepsis,draw_0,44.84484,Female,3,ethiopia,0.18309336383470107
neonatal_sepsis,draw_0,44.84484,Male,3,ethiopia,0.1785698716456657
neonatal_sepsis,draw_0,44.95495,Female,2,ethiopia,0.17680340467406483
neonatal_sepsis,draw_0,44.95495,Male,2,ethiopia,0.16615405020191765
neonatal_sepsis,draw_0,44.95495,Female,3,ethiopia,0.1833510908436417
neonatal_sepsis,draw_0,44.95495,Male,3,ethiopia,0.1788310827722344
neonatal_sepsis,draw_0,45.06507,Female,2,ethiopia,0.17708968814816714
neonatal_sepsis,draw_0,45.06507,Male,2,ethiopia,0.16643357752956633
neonatal_sepsis,draw_0,45.06507,Female,3,ethiopia,0.18360967734840047
neonatal_sepsis,draw_0,45.06507,Male,3,ethiopia,0.1790930780735805
neonatal_sepsis,draw_0,45.17518,Female,2,ethiopia,0.17737683096051995
neonatal_sepsis,draw_0,45.17518,Male,2,ethiopia,0.16671399636722953
