sex_of_child,value,age_group_id,exposure,location,draw
Female,1.9053305010311863,3,44.07407,ethiopia,draw_109
Male,2.035872608121576,3,44.07407,ethiopia,draw_109
Female,2.018597986657104,2,44.18418,ethiopia,draw_109
Male,2.4593739821310456,2,44.18418,ethiopia,draw_109
Female,1.902525895641436,3,44.18418,ethiopia,draw_109
Male,2.0329869080193674,3,44.18418,ethiopia,draw_109
Female,2.0147234372666847,2,44.29429,ethiopia,draw_109
Male,2.454643944664965,2,44.29429,ethiopia,draw_109
Female,1.8997279477262337,3,44.29429,ethiopia,draw_109
Male,2.0301066352003296,3,44.29429,ethiopia,draw_109
Female,2.010860464464803,2,44.4044,ethiopia,draw_109
Male,2.4499264244051218,2,44.4044,ethiopia,draw_109
Female,1.8969356930549737,3,44.4044,ethiopia,draw_109
Male,2.027232297267904,3,44.4044,ethiopia,draw_109
Female,2.0070094666249223,2,44.51451,ethiopia,draw_109
Male,2.445220923049188,2,44.51451,ethiopia,draw_109
Female,1.8941495350027149,3,44.51451,ethiopia,draw_109
Male,2.0243637148701437,3,44.51451,ethiopia,draw_109
Female,2.0031713592295395,2,44.62462,ethiopia,draw_109
Male,2.4405288288987186,2,44.62462,ethiopia,draw_109
Female,1.8913699773712802,3,44.62462,ethiopia,draw_109
Male,2.021501796215386,3,44.62462,ethiopia,draw_109
Female,1.999345419878009,2,44.73473,ethiopia,draw_109
Male,2.435849802051837,2,44.73473,ethiopia,draw_109
Female,1.8885964641172601,3,44.73473,ethiopia,draw_109
Male,2.0186462669221203,3,44.73473,ethiopia,draw_109
Female,1.9955317600556322,2,44.84484,ethiopia,draw_109
Male,2.4311818288222136,2,44.84484,ethiopia,draw_109
Female,1.885829154265473,3,44.84484,ethiopia,draw_109
Male,2.0157961195557643,3,44.84484,ethiopia,draw_109
Female,1.9917304498596142,2,44.95495,ethiopia,draw_109
Male,2.426526672710815,2,44.95495,ethiopia,draw_109
Female,1.8830678569266373,3,44.95495,ethiopia,draw_109
Male,2.012952362273481,3,44.95495,ethiopia,draw_109
Female,1.9879413239216697,2,45.06507,ethiopia,draw_109
Male,2.421882054588462,2,45.06507,ethiopia,draw_109
Female,1.8803125763722839,3,45.06507,ethiopia,draw_109
Male,2.010113803693188,3,45.06507,ethiopia,draw_109
Female,1.9841648089022907,2,45.17518,ethiopia,draw_109
Male,2.4172503196987987,2,45.17518,ethiopia,draw_109
Female,1.8775639218298161,3,45.17518,ethiopia,draw_109
Male,2.0072816150161197,3,45.17518,ethiopia,draw_109
Female,1.9804001038116998,2,45.28529,ethiopia,draw_109
Male,2.4126300731716723,2,45.28529,ethiopia,draw_109
Female,1.8748210192966317,3,45.28529,ethiopia,draw_109
Male,2.004454981932178,3,45.28529,ethiopia,draw_109
Female,1.9766478339746483,2,45.3954,ethiopia,draw_109
Male,2.4080236053798956,2,45.3954,ethiopia,draw_109
Female,1.8720845754270958,3,45.3954,ethiopia,draw_109
Male,2.0016350006865076,3,45.3954,ethiopia,draw_109
Female,1.9729077990030917,2,45.50551,ethiopia,draw_109
Male,2.4034295656639517,2,45.50551,ethiopia,draw_109
Female,1.8693545728225507,3,45.50551,ethiopia,draw_109
Male,1.99882102551384,3,45.50551,ethiopia,draw_109
Female,1.969179313406888,2,45.61562,ethiopia,draw_109
Male,2.3988474918699616,2,45.61562,ethiopia,draw_109
Female,1.8666303068310153,3,45.61562,ethiopia,draw_109
